date,sales
2022-01-01,14500
2022-02-01,13200
2022-03-01,15800
2022-04-01,17000
2022-05-01,16500
2022-06-01,18200
2022-07-01,19500
2022-08-01,21000
2022-09-01,19800
2022-10-01,22500
2022-11-01,24800
2022-12-01,28500
2023-01-01,15200
2023-02-01,14000
2023-03-01,16800
2023-04-01,18500
2023-05-01,17800
2023-06-01,20500
2023-07-01,22000
2023-08-01,23800
2023-09-01,21500
2023-10-01,24500
2023-11-01,27200
2023-12-01,31500
2024-01-01,16000
2024-02-01,14800
2024-03-01,18000
2024-04-01,19800
2024-05-01,19200
2024-06-01,22800
